"word","n"
"chronic pain",2001
"star rate",1761
"puerto rico",1371
"pain patient",1251
"call letter",1237
"pain manag",826
"advanc notic",806
"risk adjust",760
"pain medic",726
"risk score",719
"cost share",680
"draft call",667
"prescript drug",610
"supplement benefit",610
"encount data",484
"dai suppli",449
"adjust model",429
"7 dai",424
"cdc guidelin",413
"prescript opioid",379
"payment polici",374
"intract pain",354
"capit rate",341
"90 mme",323
"sponsor organ",323
"normal factor",318
"medicaid servic",317
"opioid prescript",292
"medic adher",274
"opioid medic",272
"pain med",270
"chronic condit",269
"overdos death",267
"displai page",263
"hard edit",256
"program audit",255
"prescrib opioid",235
"qualiti measur",232
"safeti edit",215
"pain relief",214
"condit count",210
"suppli limit",206
"acut pain",204
"displai measur",204
"opioid therapi",202
"daili dose",201
"insur compani",201
"opioid prescrib",200
"coverag determin",194
"dual elig",192
"human servic",190
"drug overdos",189
"pain medicin",186
"valid audit",182
"specialti tier",178
"meaning differ",171
"dietari supplement",170
"opioid epidem",169
"prior author",164
"count model",162
"opioid crisi",159
"payment rate",158
"support cmss",158
"independ audit",155
"payment condit",155
"rate program",153
"sever pain",151
"chronic ill",150
"price accuraci",149
"rate measur",149
"network adequaci",146
"treat pain",144
"clinic trial",143
"patient safeti",143
"physic therapi",142
"esrd model",141
"march 5",141
"blood pressur",138
"opioid overutil",137
"annual percentag",135
"strongli support",135
"risk factor",134
"appeal measur",133
"cmshcc model",133
"morphin milligram",133
"percentag increas",133
"benefit design",132
"drug util",132
"social secur",132
"ff cost",131
"death involv",128
"diseas control",128
"illeg drug",128
"milligram equival",128
"coverag gap",127
"final call",127
"po edit",127
"adher measur",126
"opioid pain",126
"pain treatment",126
"payment methodologi",126
"rel factor",126
"relat supplement",125
"bapp measur",124
"code pattern",123
"individu market",123
"ir data",123
"provid directori",122
"beneficiari access",121
"drug benefit",119
"benefit packag",118
"complianc program",114
"cmss propos",113
"improv measur",113
"measur concept",113
"audit firm",112
"hedi measur",112
"move forward",112
"pain control",112
"la opioid",111
"outofpocket cost",111
"util review",111
"low incom",110
"scale reduct",110
"egwp payment",109
"mtm program",108
"30 dai",107
"cmshcc risk",106
"kidnei diseas",105
"morphin equival",105
"enforc action",104
"opioid analges",104
"emerg depart",102
"90 mg",100
"bonu payment",100
"code intens",100
"error rate",100
"opioid dose",99
"bid submiss",98
"futur measur",98
"pain suffer",98
"pain condit",97
"potenti drug",97
