"word"
"1 000"
"100 percent"
"2014 diagnos"
"21st centuri"
"36.00 pmpm"
"4 vi"
"42 c.f.r"
"42 cfr"
"50 percent"
"7 dai"
"90 mme"
"accuraci index"
"accuraci score"
"act requir"
"actuari equival"
"add file"
"addit adjust"
"adher measur"
"adjust categori"
"adjust model"
"administr fee"
"advanc apm"
"advanc notic"
"affect contract"
"annual cost"
"annual percentag"
"appeal measur"
"applic drug"
"applic percentag"
"audit firm"
"averag risk"
"b2b ratio"
"beneficiari cost"
"benefit dual"
"benefit packag"
"benefit structur"
"bid price"
"bid review"
"bid submiss"
"bonu payment"
"cai valu"
"calcul error"
"calcul risk"
"call letter"
"capita cost"
"centuri cure"
"chronic condit"
"chronic kidnei"
"claim histori"
"claim percentag"
"clinic trial"
"commun segment"
"complianc program"
"condit categori"
"condit count"
"contract level"
"cost base"
"cost limit"
"cost share"
"cost threshold"
"count model"
"count variabl"
"coverag determin"
"coverag gap"
"credibl adjust"
"cure act"
"dai suppli"
"daili dose"
"data collect"
"data complet"
"data record"
"defin standard"
"demograph factor"
"diagnosi code"
"dispens fee"
"displai measur"
"displai page"
"drug benefit"
"drug cost"
"drug coverag"
"drug tier"
"dual elig"
"dummi variabl"
"elig clinician"
"encount data"
"enforc action"
"enrol data"
"enrol weight"
"equival cost"
"error rate"
"esrd dialysi"
"esrd model"
"expect cost"
"factor trend"
"fema design"
"ff claim"
"ff cost"
"ff diagnos"
"ff rate"
"ff uspcc"
"fide snp"
"final adjust"
"frailti factor"
"gener drug"
"growth percentag"
"half star"
"hard edit"
"hcc 138"
"hcc 61"
"hcc model"
"hcc risk"
"hedi measur"
"http www.cms.gov"
"icd 10"
"icd 9"
"independ audit"
"individu assist"
"individu market"
"ingredi cost"
"initi process"
"ir data"
"june 4"
"kidnei diseas"
"la opioid"
"level star"
"li de"
"listen forum"
"low enrol"
"low incom"
"lower bound"
"lower limit"
"meaning differ"
"measur concept"
"measur level"
"measur rate"
"medic adher"
"medic benefit"
"medic educ"
"moc submiss"
"model test"
"month period"
"moop amount"
"moop limit"
"mtm model"
"mtm program"
"normal factor"
"nurs facil"
"opioid overutil"
"organ determin"
"packag pbp"
"patient safeti"
"payer advanc"
"payment adjust"
"payment amount"
"payment arrang"
"payment condit"
"payment rate"
"pd contract"
"pde cost"
"pde data"
"pdp contract"
"percentag increas"
"percentag index"
"po edit"
"pocket threshold"
"post graft"
"predict 2015"
"predict ratio"
"prefer drug"
"prescript drug"
"prescript opioid"
"price accuraci"
"price tool"
"prior author"
"program audit"
"program effect"
"provid directori"
"puerto rico"
"qbp percentag"
"qualifi clinic"
"qualiti bonu"
"qualiti measur"
"rate announc"
"rate measur"
"rebat percentag"
"receiv inform"
"rel factor"
"resid code"
"risk adjust"
"risk corridor"
"risk score"
"risk share"
"safeti edit"
"safeti report"
"score calcul"
"section 1852"
"section 1853"
"section 1854"
"section 1860d"
"section ii"
"section iii"
"servic categori"
"share amount"
"share save"
"skill nurs"
"social secur"
"sponsor organ"
"standard benefit"
"star rate"
"submiss deadlin"
"submit data"
"summari rate"
"supplement benefit"
"target amount"
"technic adjust"
"threshold lower"
"tier cost"
"time period"
"tmp data"
"trial servic"
"updat window"
"user fee"
"vaccin administr"
"valid audit"
"voluntari moop"
"weight averag"
