"","agencyAcronym","allowLateComment","attachmentCount","commentDueDate","commentStartDate","commentText","docketId","docketTitle","docketType","documentId","documentStatus","documentType","numberOfCommentsReceived","openForComment","postedDate","title"
"1","CMS",FALSE,0,NA,NA,"I have degenerated disk disease, scoliosis, lupus, and fibromyalgia, I have been on pain meds for many years, I take them as directed every day. I don't run out before my next perscription is due. I'm responsible with it. My body isn't going to get better, but continue to get worse. I was informed by pain management all of us were going to be weaned off due to government regulations. I have the MRI'S and lab work, nerve conduction test to prove it, yet I must be taken off after years of being on them. Can you imagine the pain I will be in everyday and withdrawal due to people abusing them. So now all legitament pain patients will suffer.","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0346","Posted","Public Submission",1,FALSE,"2018-03-12T00:00:00-04:00","Dina Cloeters-CA"
"2","CMS",FALSE,1,NA,NA,"See attached file(s)","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-1099","Posted","Public Submission",1,FALSE,"2018-05-01T00:00:00-04:00","Camille Heard-FL"
"3","CMS",FALSE,0,NA,NA,"
I am a chronic pain patient diagnosed with Degenerative Disk Disease with 7 herniated disks in my back and neck. I also have Psoriatic Arthritis and bone spurs on all of the joints throughout my body (bone imaging scan done). I suffer from Fibromyalgia as well, so all of my muscles and tissues are extremely sensitive and the pain is unbearable, especially when rubbing against all of the bone spurs. I have a metal bell that holds my neck together and gives me severe migraines 20 days a month, this also causes allot of pain and often prevents me from standing and walking. I suffer with sadness and anxiety due to pain. I have a torn siatica which makes it difficult to climb stairs or do any strenuous activity. My neck and back hurt so bad it's impossible to get a decent nights sleep. 

I am a Medicare patient and am in the process of getting opioid medications subscribed by my Reumatologist. In the meantime I do take Gabapentin 800MG.

I will rely upon opioid medications in the future to:

* allow increased function so I may retain my independent living and daily chores
* manage my incurable pain from the many different illnesses
* allow increased mobility to be able to independently shop for groceries, attend functions, etc.
* remain as productive as possible on my own

If CMS enforces a hard limit for opioid doses per day, this will give insurance companies and pharmacies an excuse to stop paying for my necessary prescriptions and/or dispensing them at all.

These proposed regulations are not supported by any reliable science.

If enacted, these policies could:

* force even more doctors away from treating pain for fear of losing their license 
* force more patients onto Disability as they will have increased pain and decreased function
* force more patients onto Medicaid as many will not be able to continue to work and will lose health insurance
* create more demand for emergency room services as patients will not have health insurance for doctor visits
* increase the rate of expensive procedures Medicaid or Medicare will have to pay for
* increase the rate of suicides as many patients will not be able to tolerate their pain without their prescribed 


","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0725","Posted","Public Submission",1,FALSE,"2018-04-19T00:00:00-04:00","Sheri Anonymous-NV"
"4","CMS",FALSE,0,NA,NA,"Not everyone who uses opioids misues/abuses them! Cutting off pain relief is cruel and inhumane. When and where will this nonsense torture of those of us in chronic pain end!? Are you trying to kill us all? If so, send me the damned cynanide already. Because preversely you also deny us the right to die. Does the government just get off on torturing us?","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0578","Posted","Public Submission",1,FALSE,"2018-03-12T00:00:00-04:00","Anonymous-NY"
"5","CMS",FALSE,0,"2018-03-05T23:59:59-05:00","2018-02-01T00:00:00-05:00","It is ridiculous to limit Medicare users to 3, 5 or 7 days of opioid prescriptions based on who their insurance is.  This is a decision their doctor should be making.  According to the CDC, overdose of ANY DRUG is not even in the top 10 causes of death in the United States.  https://www.cdc.gov/nchs/products/databriefs/db267.htm  

This ""opioid epidemic"" is fictitious and we do not need more regulations coming between doctors and patients.  I am completely against the limits the a daily dose of opioid medication as well.  There is no exception here for hospice or cancer patients.  Why in the world would you limit the dose of pain medication a hospice patient can take?  Or a cancer patient?  Or a chronic pain patient? That's plain cruel.  These decisions need to be made on a case by case basis between a patient and doctor, not on a spreadsheet at a government level.  There is no way you can manage national healthcare effectively, humanely that way.  ","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0216","Posted","Public Submission",1,FALSE,"2018-03-02T00:00:00-05:00","Haley Moderhak-TX"
"6","CMS",FALSE,1,NA,NA,"This letter is on behalf of the Puerto Rico Health Insurance Administration","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-1100","Posted","Public Submission",1,FALSE,"2018-05-01T00:00:00-04:00","Angela Avila -SAN JUAN, PUERTO RICO"
"7","CMS",FALSE,0,NA,NA,"Do NOT practice medicine CMS. 
1. Arbitrary dosage limits will ONLY DRIVE patients to illicit use. EVERY single state that has LIMITED opioid dosing has had a MARKED increase in heroin and illicit use. Look at the data.
2. As a BOARD CERTIFIED twice MOC'd 20 year experienced surgeon, I KNOW how to treat pain of all types, surgical, acute, traumatic, chronic. Do NOT interfere further with my care. You do that enough already. 
3. Do NOT mandate EPCS, this will also cause MAJOR headaches, huge costs and further pain. Patients do not ALWAYS know what pharmacy they are using, nor we do not know the hours of operation, and at least 5% of the time the system just does NOT work. Paper Rx's work fine. 

You have already devastated the practice of medicine with MU MACRA MIPS cert EHR HIPAA and the multitude of hyper-regulatory activity that has severely damaged a generation of MDs.

We have a ILLICIT opioid problem, like heroin, fentanyl. We do NOT have a problem with patients that are taking the medications as WE prescribed them. We use PDMP, we can track their appropriate use. If you limit dosing, you will drive them to illicit use or worse. You are going to unnecessarily cause even more damage to a very vulnerable patient population.","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0423","Posted","Public Submission",1,FALSE,"2018-03-12T00:00:00-04:00","OH"
"8","CMS",FALSE,1,NA,NA,"On behalf of the more than 5,000 members of the American Academy of Hospice and Palliative Medicine (AAHPM), we would like to thank the Centers for Medicare & Medicaid Services (CMS) for the opportunity to comment on the Advance Notice of Methodological Changes for Calendar Year 2019 for Medicare Advantage Capitation Rates, Part C and Part D Payment Policies and 2019 Draft Call Letter. 

AAHPM is the professional organization for physicians specializing in Hospice and Palliative Medicine. Our membership also includes nurses and other health and spiritual care providers deeply committed to improving quality of life for patients facing serious illness, as well as their families and caregivers. 

In the attached comments, we offer feedback on select proposed policies in this Notice and Draft Call Letter that affect these vulnerable patients that AAHPM members care for each day. We urge CMS to consider our comments as it finalizes policies for 2019, and we are happy to provide any additional input or assistance as needed. 

Please direct questions or requests for additional information to Jacqueline M. Kocinski, MPP, AAHPM Director of Health Policy and Government Relations, at jkocinski@aahpm.org or 847-375-4841.","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-1204","Posted","Public Submission",1,FALSE,"2018-05-01T00:00:00-04:00","J.M. Kocinski-IL"
"9","CMS",FALSE,0,NA,NA,"I am a chronic pain patient with the following illnesses: fibromyalgia, chronic fatigue syndrome, migraines, IBS, asthma, TMJ/TMD, major depressive disorder, bi-polar, anxiety, MCS, nerve pain from unknown origin. My Internist and I have been together for 20 years now trying to manage the above illnesses. Per his prescriptions, I use tramadol 50mg per day, gabapentin 2400mg per day/evening, cyclobenzaprine 10mg per day, and 1000mg naproxen throughout AM/PM. Along with everything else I am or tried almost all anti-depressants, PT, OT, injections, acupuncture, TENS, creams, biofeedback, and CBT/mindfulness.
My concern is that if any of the tramadol or muscle relaxer taken away it will have an effect on the way I can function and cope. It is very difficult for me with all the above illnesses and I do not want the CMS to enforce opioid doses per day as then the insurance companies and those distributing them will follow.
Just this past summer, I wanted to commit suicide. My Doctor did want me to go to ER for help and I declined to go. The CFS was over-the-top and I felt I need to protect myself from expensive, ineffective or no treatments in the ER. My medical care team is very conservative in their prescribing of opioids.
My cry to you is to FIRST find medications to replace what you are taking away and SECOND go after those illegal drugs in America.
","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-0892","Posted","Public Submission",1,FALSE,"2018-04-30T00:00:00-04:00","Beth Hinnegerg, Plymouth, MN"
"10","CMS",FALSE,1,NA,NA,"See attached file(s)","CMS-2017-0163","Advance Notice of Methodological Changes for Calendar Year (CY) 2019 for the Medicare Advantage (MA)","Nonrulemaking","CMS-2017-0163-1147","Posted","Public Submission",1,FALSE,"2018-05-01T00:00:00-04:00","Mark Kinney-CO"
