V1,,n
costsharing,,1010
atrisk,,812
lockin,,477
pointofsale,,452
feeforservice,,447
andor,,395
outofpocket,,327
alfs,,266
longterm,,221
followon,,217
november,,211
lowincome,,195
cai,,170
epa,,170
fdrs,,155
nonlis,,154
cfr,,151
timeframe,,150
administratorcenters,administrator centers,149
eligibles,,139
alf,,137
mailorder,,128
th,,124
valuebased,,121
al,,120
eoc,,119
oep,,119
overutilization,,111
passthrough,,111
qi,,111
nonpreferred,,110
optout,,107
nprm,,105
dur,,96
qia,,94
realtime,,93
dcp,,90
dualeligible,,90
highquality,,90
anoc,,87
nasp,,83
pqa,,83
timeframes,,75
copays,,74
optin,,74
vermaon,,73
pdx,,72
subregulatory,,72
measurelevel,,70
fullbenefit,,68
innetwork,,68
aafp,,64
performancebased,,64
performrx,,62
ahcancal,,60
liseligible,,60
nonopioid,,60
mme,,59
seema,,59
postpos,,58
apha,,57
datemckesson,,57
fdr,,57
quantityinvoicecredit,,57
medicaremedicaid,,56
ndcpurchase,,56
tcs,,55
achp,,54
enrollmentweighted,,54
vermathe,verma the,54
decisionmaking,,53
qoc,,53
beneficiaryspecific,,51
bma,,51
mpf,,51
servicesu,,50
subpart,,50
walkin,,50
evidencebased,,49
nonmedicare,,48
costeffective,,47
highcost,,47
nonsubstantive,,47
patientcentered,,47
stoploss,,47
mmps,,46
qip,,46
sw,,46
fwa,,45
ltss,,45
ds,,43
li,,43
lisde,,43
mmp,,43
programdear,,43
idaho,,42
statin,,42
acs,,41
humphrey,,41
ncvhs,,41
tpa,,41
feefor,fee for,40
highrisk,,40
scpc,,40
ascp,,39
pdear,,39
surescripts,,39
urac,,39
highercost,,37
requirementscms,requirements cms,37
aana,,36
cgdp,,36
dea,,36
docpage,,36
hpid,,36
bb,,35
coa,,35
communicationmarketing,communication marketing,35
highvalue,,35
pdmps,,35
hisher,,34
hubert,,34
lowercost,,33
nonrenewal,,32
pqoc,,32
wellbeing,,32
communitybased,,31
nonadherence,,31
planspbms,plans pbms,31
yeartoyear,,31
ada,,30
ph,,30
qips,,30
servicesdepartment,services department,30
contractlevel,contract level,29
exactcare,,29
experiencecomplaints,,29
healthpartners,,29
outof,,29
tmp,,29
anticompetitive,,28
cmr,,28
commentpdx,,28
duallyeligible,,28
nni,,28
servicesattention,,28
apa,,27
buprenorphine,,27
cmedicare,,27
hpp,,26
listpart,,26
medica,,26
medicareeligible,,26
nahu,,26
nonformulary,,26
nonmedical,,26
pgs,,26
ses,,26
sixmonth,,26
yearoveryear,,26
bcccc,,25
ies,,25
lockedin,,25
lockins,,25
nacds,,25
ombuds,,25
pdpspbms,,25
pillpack,,25
ppir,,25
bapp,,24
ing,,24
maprx,,24
maximus,,24
na,,24
nasl,,24
nw,,24
planlevel,,24
pmpm,,24
postacute,,24
agentbroker,,23
brandname,,23
cmmi,,23
covermymeds,,23
firsttier,,23
ppo,,23
prr,,23
vermaadministrator,verma administrator,23
beneficiarylevel,beneficiary level,22
costshare,,22
ctm,,22
de,,22
ifr,,22
mohs,,22
onc,,22
outofnetwork,,22
pdmp,,22
rph,,22
thirdparty,,22
tmc,,22
dmp,,21
endoflife,,21
ltpac,,21
mba,,21
medicationassisted,,21
noticeandcomment,,21
nps,,21
policyb,policy b,21
tc,,21
bms,,20
doi,,20
dpp,,20
ga,,20
genoa,,20
nhia,,20
nonlow,,20
notforprofit,,20
nqf,,20
pbmspecific,pbm specific,20
vha,,20
acos,,19
ann,,19
cmsdeveloped,cms developed,19
commentncpdp,comment ncpdp,19
hanys,,19
nccn,,19
pharm,,19
pharmd,,19
pointclickcare,,19
rwc,,19
selfinsured,,19
antifraud,,18
apg,,18
df,,18
iha,,18
mltss,,18
nami,,18
openended,,18
pha,,18
postdischarge,,18
robms,,18
sponsorspbms,sponsors pbms,18
bioscrip,,17
commentthe,comment the,17
conditionspecific,,17
csc,,17
drugspecific,drug specific,17
highperforming,high performing,17
iod,,17
lookback,,17
nhcaa,,17
pbmimposed,pbm imposed,17
pda,,17
personcentered,,17
rebateable,,17
sinfonarx,,17
swwashington,,17
aada,,16
aam,,16
aamc,,16
acp,,16
acr,,16
cbo,,16
designee,,16
emblemhealth,,16
eric,,16
fah,,16
ftc,,16
immunogenicity,,16
ive,,16
jm,,16
marx,,16
mcos,,16
mhpa,,16
mn,,16
multisource,,16
naba,,16
nonli,,16
nonpharmacological,,16
npa,,16
nraa,,16
patientreported,,16
payforperformance,,16
pbox,,16
pdfsfvrsn,,16
pre,,16
rxante,,16
sponsorpbm,,16
acknowledgement,,15
affordabilityimplementation,affordability implementation,15
cd,,15
cong,,15
dme,,15
lls,,15
longerterm,,15
lowperforming,,15
manag,,15
measurescms,,15
moops,,15
msas,,15
nchc,,15
ncoa,,15
psaos,,15
spanish,,15
virginia,,15
acla,,14
amga,,14
apm,,14
arizona,,14
asco,,14
awir,,14
bene,,14
biologicals,,14
columbia,,14
compendia,,14
consensusbased,,14
datadriven,,14
david,,14
dmps,,14
epcs,,14
forservice,,14
healthfirst,,14
hlc,,14
hmo,,14
ihs,,14
incentivized,,14
industrys,,14
ja,,14
leie,,14
medigold,,14
onethird,,14
prescriberpharmacy,,14
ql,,14
ratingscms,,14
reauthorization,,14
refillresupply,,14
