"Document.ID","Section A.  MA Benchmark  Quality Bonus Payments and Rebate","Section A.  MA Growth Percentage","Section A.  Update of the RxHCC Model","Section B.  Calculation of Fee for Service Cost","Section B.  Encounter Data as a Diagnosis Source for 2019","Section B.  FFS Growth Percentage","Section C.  IME Phase Out","Section C.  Part D Risk Sharing","Section D.  ESRD Rates","Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019","Section D.  Retiree Drug Subsidy Amounts","Section E.  Clinical Trials","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap","Section F.  Location of Network Areas for PFFS Plans in Plan Year 2020","Section G.  MA Employer Group Waiver Plans","Section G.  Part D Calendar Year Employer Group Waiver Plans Prospective Reinsurance Payment Amount","Section H.  CMS HCC Risk Adjustment Model for CY 2019","Section H.  Enhanced Medication Therapy Management (MTM) Model","Section I Annual Calendar","Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness","Section I Enforcement Actions for Provider Directories","Section I Incomplete and Inaccurate Bid Submissions","Section I Innovations in Health Plan Design","Section I New Medicare Card Project (formerly the Social Security Number Removal Initiative  SSNRI)","Section I Plan Corrections","Section I Plan Finder Civil Money Penalty (CMP) Icon or Other Type of Notice","Section I Star Ratings   Categorical Adjustment Index","Section I Star Ratings   Disaster Implications","Section I Star Ratings   Display Measures","Section I Star Ratings   Future","Section I Star Ratings   General","Section I Star Ratings   Integrity and Completeness","Section I Star Ratings   Measure Changes","Section I Validation Audits","Section I.  ESRD Risk Adjustment Model for CY 2019","Section II Cost Plan Competition Requirements","Section II Cost Plan Transition to MA under MACRA","Section II Coverage of Supervised Exercise Therapy (SET) for Symptomatic Peripheral Artery Disease (PAD)","Section II Employer Group Waiver Plans","Section II Encounter Data Listening Forums  Monitoring and Compliance Activities","Section II Enhanced Disease Management (EDM) for Dual Eligible Special Needs Plans (D SNPs) and Institutional Special Needs Plans (I SNPs)","Section II Health Related Supplemental Benefits","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs","Section II Maximum Out of Pocket (MOOP) Limits","Section II Meaningful Difference (Substantially Duplicative Plan Offerings)","Section II Medicare Advantage (MA) Segmented Service Area Options","Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification","Section II Outpatient Observation Services","Section II Overview of CY 2019 Benefits and Bid Review","Section II Part C Cost Sharing Standards","Section II Part C Optional Supplemental Benefits","Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits","Section II Plans with Low Enrollment","Section II Rewards and Incentives for Completion of a Health Risk Assessment (HRA)","Section II Special Needs Plan (SNP) Legislative Sunset Provision","Section II Special Needs Plan (SNP) Specific Networks Research and Development","Section II Tiered Cost Sharing of Medical Benefits","Section II Total Beneficiary Cost (TBC)","Section II Transparency   Timeliness with Prior Authorization Processes","Section III Benefit Review","Section III Coordination of Benefits (COB) User Fee","Section III CY 2019 Formulary Submission Window","Section III Expanding the Part D OTC Program","Section III Improving Access to Part D Vaccines","Section III Improving Drug Utilization Review Controls in Medicare Part D","Section III LIS Enrollee Cost sharing for Out of Network Part D Drugs","Section III Low Enrollment Plans (Stand alone PDPs only)","Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section III Part D Benefit Parameters for Non Defined Standard Plans","Section III Part D Mail Order Refill Consent Policy  Solicitation for Comments","Section III Specialty Tiers","Section III Tier Composition","Section III Timely Updates to LIS Status Based on Best Available Evidence","Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs","Section IV   Medicare Medicaid Plans","Section J.  Frailty Adjustment for PACE organizations and FIDE SNPs","Section K.  Medicare Advantage Coding Pattern Adjustment","Section L.  Normalization Factors","Section M.  Medical Loss Ratio Credibility Adjustment","Section N.  Encounter Data as a Diagnosis Source for 2019","Section O.  Quality Payment Program","Section RS Advanced Notice Part I Risk Model"
"CMS-2017-0163-0002-0-1",0,0,0.00172648610177466,0,0.00121497291416273,0,0.00179776629715789,0.00192785955633213,0.0015253233936422,0.00113635279244091,0.00202876661471929,0.0024390620786356,0.00142845796971026,0.00204215036449278,0.00165664287274433,0.00123516764680665,0.00109822598369428,0.00107597201639612,0,0.00188634305568641,0.00210603603652666,0,0.00112889375581115,0.0010861517400717,0,0,0.00130481633418127,0.00125467708595453,0.0917401604289156,0,0,0,0,0,0,0,0.00103605630867045,0.00109929706783507,0.00109929706783508,0.00118085156416878,0,0.00165811783751116,0.00191836772682319,0,0,0.0023382548248794,0,0,0.00169098014471143,0,0,0.002658017818773,0,0.0017395427357571,0.00112889375581116,0.00171912715629004,0.00166558136885264,0.00151600414204834,0,0.0013100794281119,0.00131117890029307,0.00183183115208718,0.00111612941045737,0,0.00442791558238224,0,0,0,0,0,0.00166558136885263,0.0020287666147193,0.00140748871103359,0,0.00135161666567691,0.00171912715629002,0,0,0.0012927437760566,0.00131007942811185,0,0,0.00181216791674727,0,0.00117971221099881,1
"CMS-2017-0163-0003-0-1",0,0,0,0,0,0,0,0,0,0,0,0.00108175635704162,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316505441390841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00102081431222147,0,0,0,0,0,0.00116041357112695,0,0,0,0,0,0,0,0,0,0,0,0,0.00193309965693602,0.00719949608621702,0,0,0,0,0,0,0,0,0,0,0,0.0316273495773806,0,0,0,0,0,0,0,0.987632444416505
"CMS-2017-0163-0004-0-1",0,0.0245892447342871,0,0,0,0.0245892447342871,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114160374215443,0,0,0,0,0,0,0,0,0,0,0.00680931166746972,0.0204052679831171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755553262938529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755553262938529,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673738508223401,0.955883457126623
"CMS-2017-0163-0005-0-1",0,0,0.00172648610177459,0,0.00121497291416272,0,0.00179776629715788,0.00192785955633212,0.00152532339364218,0.00113635279244091,0.00202876661471929,0.00243906207863555,0.00142845796971025,0.00204215036449277,0.00165664287274433,0.00123516764680664,0.00109822598369424,0.00107597201639612,0,0.0018863430556864,0.00210603603652663,0,0.00112889375581115,0.00108615174007169,0,0,0.00130481633418127,0.00125467708595453,0.242891982753824,0,0,0,0,0,0,0,0.00103605630867045,0.00109929706783507,0.00109929706783507,0.00118085156416877,0,0.00165811783751117,0.0019183677268232,0,0,0.00233825482487938,0,0,0.0016909801447114,0,0,0.002658017818773,0,0.00173954273575707,0.00112889375581116,0.00171912715629,0.00166558136885263,0.00151600414204834,0,0.00131007942811187,0.00131117890029306,0.00183183115208718,0.00111612941045737,0,0.00442791558238222,0,0,0,0,0,0.00166558136885262,0.00202876661471929,0.00140748871103359,0.198675413632101,0.00135161666567691,0.00171912715629002,0,0,0.00129274377605663,0.0013100794281119,0,0,0.00181216791674724,0,0.0011797122109988,0.558172997580331
"CMS-2017-0163-0008-0-1",0,0,0.00185423521340841,0,0.00130487326742021,0,0.00193290018273403,0.00207277224776713,0.00163997838370899,0.00122232270932505,0.00217888258291436,0.00261953733033074,0.00153547345319302,0.00219514171127005,0.00177922402475615,0.00132770244006493,0.00118050154735132,0.00115558717755868,0,0.00202766181927567,0.00226186945589734,0,0.00121375005769342,0.00116752274017399,0,0,0.00140136453538944,0.00134898822641612,0,0,0.0298066071262007,0.252961881978966,0,0,0,0,0.00111367431993772,0.00118165287367612,0.00118165287367613,0.00126931717095631,0.00101266583878589,0.00178080812763799,0.00206256693964601,0,0,0.00251342936686549,0,0,0.0018180871651001,0,0.0010177944529628,0.00285714797731696,0,0.00186986369083826,0.00121375005769343,0.00184633175224723,0.00179036137585825,0.00162957830360109,0,0.00140701706516514,0.00140940821254628,0.00196906605892813,0.00119974624134927,0,0.00475964079720649,0,0,0,0.654970215920739,0.00101779445296279,0.00179036137585826,0.00217888258291436,0.00151163402230175,0,0.00145162779703354,0.00184633175224723,0,0,0.00138959198800801,0.00140701706516514,0,0,0.00194625694373577,0,0.00126809246110598,0.00135154721469138
"CMS-2017-0163-0009-0-1",0,0,0.0016150775164964,0,0.00113657181184349,0,0.00167991753232037,0.00180148280321738,0.0014253340467495,0.00106137938014848,0.00189785214157475,0.0022816716106169,0.0013351309518926,0.00190872830553502,0.00154974120781135,0.00115446907854237,0.0010264743759316,0.00100654051618177,0,0.0017631005272388,0.00197013543753959,0,0.00105489151482718,0.00101518899216605,0,0,0.00122061771729733,0.00117242938496945,0,0,0.151414531293934,0.206678464750118,0,0,0,0,0,0.0010274754817526,0.00102747548175261,0.00110370168835441,0,0.00155112099443698,0.00179261319050353,0,0,0.00218548704708611,0,0,0.00158013152009648,0,0,0.00248435861311741,0,0.0016258912742951,0.0010548915148272,0.00160819343710258,0.00155676210683461,0.00141695737373126,0,0.00122554118854091,0.00122551420508708,0.001712150109876,0.00104320809839547,0,0.00413862169679738,0,0,0,0.668988598007418,0,0.00155676210683461,0.00189785214157476,0.00131666473861361,0,0.00126439806576667,0.00160819343710258,0,0,0.00120828352312663,0.00122554118854092,0,0,0.00169523036151093,0,0.00110263677379997,0.00117520268131387
"CMS-2017-0163-0010-0-1",0,0,0.0016150775164964,0,0.00113657181184349,0,0.00167991753232037,0.00180148280321738,0.0014253340467495,0.00106137938014848,0.00189785214157475,0.0022816716106169,0.0013351309518926,0.00190872830553502,0.00154974120781135,0.00115446907854237,0.0010264743759316,0.00100654051618177,0,0.0017631005272388,0.00197013543753959,0,0.00105489151482718,0.00101518899216605,0,0,0.00122061771729733,0.00117242938496945,0,0,0.151414531293934,0.206678464750118,0,0,0,0,0,0.0010274754817526,0.00102747548175261,0.00110370168835441,0,0.00155112099443698,0.00179261319050353,0,0,0.00218548704708611,0,0,0.00158013152009648,0,0,0.00248435861311741,0,0.0016258912742951,0.0010548915148272,0.00160819343710258,0.00155676210683461,0.00141695737373126,0,0.00122554118854091,0.00122551420508708,0.001712150109876,0.00104320809839547,0,0.00413862169679738,0,0,0,0.668988598007418,0,0.00155676210683461,0.00189785214157476,0.00131666473861361,0,0.00126439806576667,0.00160819343710258,0,0,0.00120828352312663,0.00122554118854092,0,0,0.00169523036151093,0,0.00110263677379997,0.00117520268131387
"CMS-2017-0163-0011-0-1",0,0,0,0.020012244341439,0,0,0,0,0,0,0,0,0,0,0,0.0794663938224197,0,0,0,0,0,0.0235937587959782,0.0657838761188302,0,0,0,0,0,0,0.0298302248874109,0,0.0878427356816996,0,0,0,0.0476525605276335,0,0.0794555442997318,0.0794555442997318,0,0,0,0,0.106346501862658,0,0,0.0243447640096334,0.106346501862658,0.162858076542914,0.106346501862658,0,0,0,0,0.0657838761188302,0,0.0300570742539231,0.188973826647275,0,0,0,0.176259016486581,0,0,0,0,0,0,0.319948693103091,0,0.0300570742539231,0,0,0.117080505878432,0,0,0,0,0,0,0,0,0,0,0,0.0328904922799144
"CMS-2017-0163-0012-0-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0.112550917750188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162176192691895,0,0,0.0676703051009863,0,0,0,0,0,0,0,0,0.120890885265278,0,0,0,0.120890885265278,0.118324685559507,0.120890885265278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496561802224865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725200632592603,0.112539575999841
"CMS-2017-0163-0013-0-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250010184102265,0,0,0,0,0,0,0.145215774297755,0,0,0,0,0,0,0,0,0.0938651475268057,0,0,0.0395170505338409,0.0483879919739659,0,0.0249845297650683,0.0249845297650683,0,0,0,0,0,0,0,0,0,0.130126970421525,0,0.0514847249652421,0,0,0,0.145215774297755,0,0,0.146116024051734,0,0,0,0,0,0,0,0.00404856351511559,0,0,0.5623213924225,0.051484724965242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520431294455113
"CMS-2017-0163-0014-0-1",0,0.0928151014639645,0,0,0,0.0928151014639645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182143031612178,0,0,0,0,0,0,0.00161807469926032,0,0,0,0.634172398391083,0,0,0,0,0.0477515675363364,0,0,0,0,0,0,0,0,0,0,0,0.22827007297745
"CMS-2017-0163-0015-0-1",0,0,0.0012199981406225,0,0,0,0.0012619998615831,0.00135332300816247,0.00107074980473775,0,0.00143360059207574,0.00172353035320696,0.00100417279584417,0.00143558430456504,0.00117064436391721,0,0,0,0,0.00132605538301846,0.0014882019878444,0,0,0,0,0,0,0,0,0,0,0.164623772691821,0,0.0652010332891041,0,0,0,0,0,0,0,0.00117168662789555,0.00134665991321773,0,0,0.00164373886714464,0,0,0.00118703788803875,0,0,0.00186852482962611,0,0.00122285816558532,0,0.00121479804095263,0.00117086504141665,0.001065715722907,0,0,0,0.00128773478009922,0,0,0.00311272187520111,0,0,0,0.809999122774647,0,0.00117086504141665,0.00143360059207575,0,0,0,0.00121479804095263,0,0,0,0,0,0,0.00128054404067036,0,0,0
"CMS-2017-0163-0016-0-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197441639027855,0,0.0236982874586995,0.193451929593632,0,0,0.0224352126377566,0.012127200142206,0,0,0,0,0,0,0,0,0.0834702788626842,0,0,0,0,0,0.0672654138433898,0,0,0,0,0,0.115220425025694,0,0,0,0,0,0,0,0,0,0.052311660303517,0,0.441605856872122,0.0672654138433898,0.115220425025694,0,0,0.0272601941767558,0,0,0,0,0,0,0,0,0,0,0.0606822595782842,0.134093923542769
"CMS-2017-0163-0017-0-1",0.153137515238078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698968341999546,0,0,0.346885982961437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00105790106308209,0,0,0,0,0.0984830496952952,0,0,0,0,0,0,0,0.00176232701254094,0,0.125620590740054,0,0.274089612318208,0,0.0984830496952952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065637661227032
"CMS-2017-0163-0018-0-1",0,0,0,0,0,0,0,0.00103762690783754,0,0,0.00110656901681209,0.00133036028231031,0,0.00110228864161952,0,0,0,0,0,0.00101818874879839,0.00114871479518743,0,0,0,0,0,0,0,0,0,0,0.1485301442499,0,0,0,0,0,0,0,0,0,0,0.00103251814476882,0,0,0.00126211653142241,0,0,0,0,0,0.00143471455471573,0,0,0,0,0,0,0,0,0,0,0,0,0.00239004979132466,0,0,0,0.882567012320738,0,0,0.00110656901681209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMS-2017-0163-0019-0-1",0,0,0,0.0280041761316414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116219922568084,0,0,0,0,0,0,0,0.00818351801717698,0.108560165437471,0,0,0,0.0369476920376758,0,0,0,0,0,0,0,0,0,0,0,0,0.104197707381736,0,0.260870872550988,0,0,0,0.116219922568084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.545239071140644,0.260870872550988,0,0,0,0,0,0,0,0,0.0454519820521277,0,0,0,0,0,0.0465847103068462,0
