"Document.ID","Topic","Score","document","gamma"
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",8.99418580158874e-07
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section III Improving Drug Utilization Review Controls in Medicare Part D",2.96443313887903e-06
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section I Validation Audits",7.8012054801943e-06
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section B.  Calculation of Fee for Service Cost",5.50936891098641e-06
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section G.  MA Employer Group Waiver Plans",8.42420574183048e-06
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section L.  Normalization Factors",1.14232413853408e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section A.  MA Benchmark  Quality Bonus Payments and Rebate",7.52974045104891e-06
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section IV   Medicare Medicaid Plans",0.67131723688014
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section I.  ESRD Risk Adjustment Model for CY 2019",1.15325159329665e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section III CY 2019 Formulary Submission Window",1.21641982342935e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section I Incomplete and Inaccurate Bid Submissions",2.26393370351391e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section E.  Clinical Trials",2.21636701369672e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",1.51574028775132e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section II Part C Cost Sharing Standards",1.48376036820401e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section II Total Beneficiary Cost (TBC)",1.32115891376859e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",2.07981032524031e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section C.  Part D Risk Sharing",2.55140908046316e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section II Maximum Out of Pocket (MOOP) Limits",2.4985316250553e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",3.54939667703429e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section O.  Quality Payment Program",2.52847571990406e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section II Health Related Supplemental Benefits",3.44788570211497e-05
"CMS-2017-0163-1150-1-4",1,"3.7546923563129e-05","Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",3.04922788741372e-05
