"Document.ID","n.x","n.y","percent.misspelled"
"CMS-2017-0163-0189-2",1,1,1
"CMS-2017-0163-0366-1",9,8,0.888888888888889
"CMS-2017-0163-0733-1",95,70,0.736842105263158
"CMS-2017-0163-0456-1",80,52,0.65
"CMS-2017-0163-0969-1",108,70,0.648148148148148
"CMS-2017-0163-1189-3",141,79,0.560283687943262
"CMS-2017-0163-0733-2",198,99,0.5
"CMS-2017-0163-0189-4",51,24,0.470588235294118
"CMS-2017-0163-0778-1",51,24,0.470588235294118
"CMS-2017-0163-0969-3",42,19,0.452380952380952
"CMS-2017-0163-0094-1",24,10,0.416666666666667
"CMS-2017-0163-1011-2",24,10,0.416666666666667
"CMS-2017-0163-1011-3",47,19,0.404255319148936
"CMS-2017-0163-1189-4",114,46,0.403508771929825
"CMS-2017-0163-0519-1",177,71,0.401129943502825
"CMS-2017-0163-0969-2",58,23,0.396551724137931
"CMS-2017-0163-0094-4",57,22,0.385964912280702
"CMS-2017-0163-1011-5",57,22,0.385964912280702
"CMS-2017-0163-1163-1",93,33,0.354838709677419
"CMS-2017-0163-0807-0",58,20,0.344827586206897
"CMS-2017-0163-0189-8",32,11,0.34375
"CMS-2017-0163-0757-1",50,16,0.32
"CMS-2017-0163-0189-10",32,10,0.3125
"CMS-2017-0163-1163-8",250,73,0.292
"CMS-2017-0163-0391-7",5426,1584,0.291927755252488
"CMS-2017-0163-1163-11",279,81,0.290322580645161
"CMS-2017-0163-0708-0",7,2,0.285714285714286
"CMS-2017-0163-1085-0",11,3,0.272727272727273
"CMS-2017-0163-0189-9",37,10,0.27027027027027
"CMS-2017-0163-0057-0",32,8,0.25
"CMS-2017-0163-0094-3",119,28,0.235294117647059
"CMS-2017-0163-0189-7",34,8,0.235294117647059
"CMS-2017-0163-1011-4",119,28,0.235294117647059
"CMS-2017-0163-0236-0",13,3,0.230769230769231
"CMS-2017-0163-0518-1",4898,1086,0.221723152307064
"CMS-2017-0163-0393-1",585,128,0.218803418803419
"CMS-2017-0163-0381-1",1323,286,0.216175359032502
"CMS-2017-0163-1040-3",502,108,0.215139442231076
"CMS-2017-0163-0215-0",33,7,0.212121212121212
"CMS-2017-0163-0811-0",99,21,0.212121212121212
"CMS-2017-0163-1088-1",1046,213,0.203632887189293
"CMS-2017-0163-0858-0",59,12,0.203389830508475
"CMS-2017-0163-0035-0",10,2,0.2
"CMS-2017-0163-0198-0",25,5,0.2
"CMS-2017-0163-0297-0",35,7,0.2
"CMS-2017-0163-0956-1",1769,350,0.197851893725269
"CMS-2017-0163-0634-1",1111,219,0.197119711971197
"CMS-2017-0163-0521-1",3266,638,0.195345988977342
"CMS-2017-0163-0702-0",41,8,0.195121951219512
"CMS-2017-0163-0618-1",769,150,0.195058517555267
"CMS-2017-0163-0739-1",353,68,0.192634560906516
"CMS-2017-0163-1141-1",923,176,0.19068255687974
"CMS-2017-0163-0523-1",3104,588,0.189432989690722
"CMS-2017-0163-0110-0",493,93,0.188640973630832
"CMS-2017-0163-0974-1",259,48,0.185328185328185
"CMS-2017-0163-0059-1",851,156,0.18331374853114
"CMS-2017-0163-0005-0",22,4,0.181818181818182
"CMS-2017-0163-0048-0",22,4,0.181818181818182
"CMS-2017-0163-0480-0",11,2,0.181818181818182
"CMS-2017-0163-0391-2",268,47,0.175373134328358
"CMS-2017-0163-1091-1",440,76,0.172727272727273
"CMS-2017-0163-0956-2",1810,308,0.170165745856354
"CMS-2017-0163-1187-0",6,1,0.166666666666667
"CMS-2017-0163-0429-1",247,41,0.165991902834008
"CMS-2017-0163-0310-0",139,23,0.165467625899281
"CMS-2017-0163-0504-0",200,33,0.165
"CMS-2017-0163-1163-4",319,52,0.163009404388715
"CMS-2017-0163-0137-0",129,21,0.162790697674419
"CMS-2017-0163-0687-1",557,90,0.161579892280072
"CMS-2017-0163-0974-0",254,41,0.161417322834646
"CMS-2017-0163-0213-0",25,4,0.16
"CMS-2017-0163-0238-0",127,20,0.15748031496063
"CMS-2017-0163-1040-2",1143,180,0.15748031496063
"CMS-2017-0163-0935-1",83,13,0.156626506024096
"CMS-2017-0163-0731-1",2066,323,0.156340755082285
"CMS-2017-0163-0190-0",45,7,0.155555555555556
"CMS-2017-0163-0553-0",116,18,0.155172413793103
"CMS-2017-0163-1176-1",446,69,0.154708520179372
"CMS-2017-0163-0029-0",52,8,0.153846153846154
"CMS-2017-0163-1095-1",204,31,0.151960784313725
"CMS-2017-0163-0847-0",33,5,0.151515151515152
"CMS-2017-0163-0686-1",802,121,0.150872817955112
"CMS-2017-0163-1040-1",1064,160,0.150375939849624
