"doc1","doc2","distance"
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.74588833661779
"Section III Low Enrollment Plans (Stand alone PDPs only)","Section II Plans with Low Enrollment",0.732508532105821
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits","Section II Part C Cost Sharing Standards",0.708621854787613
"Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness","Section I Validation Audits",0.697679906405894
"Section N.  Encounter Data as a Diagnosis Source for 2019","Section B.  Encounter Data as a Diagnosis Source for 2019",0.696234336709572
"Section I Plan Corrections","Section I Incomplete and Inaccurate Bid Submissions",0.678247857576012
"Section H.  CMS HCC Risk Adjustment Model for CY 2019","Section N.  Encounter Data as a Diagnosis Source for 2019",0.662808592449074
"Section II Maximum Out of Pocket (MOOP) Limits","Section II Part C Cost Sharing Standards",0.634924435285066
"Section II Tiered Cost Sharing of Medical Benefits","Section III Improving Access to Part D Vaccines",0.621353489581761
"Section II Tiered Cost Sharing of Medical Benefits","Section II Part C Cost Sharing Standards",0.616316004539352
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section III Improving Access to Part D Vaccines",0.596920001235307
"Section II Cost Plan Competition Requirements","Section II Cost Plan Transition to MA under MACRA",0.592693416752324
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",0.561452067575322
"Section III Tier Composition","Section III Improving Access to Part D Vaccines",0.553665842281027
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries","Section III Improving Access to Part D Vaccines",0.551223284646257
"Section III Improving Access to Part D Vaccines","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.542185914463853
"Section II Medicare Advantage (MA) Uniformity Flexibility","Section II Health Related Supplemental Benefits",0.529308306727901
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Part C Cost Sharing Standards",0.528964714619482
"Section II Tiered Cost Sharing of Medical Benefits","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.528763750702369
"Section D.  ESRD Rates","Section B.  Calculation of Fee for Service Cost",0.528124474301917
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.523710185073579
"Section II Outpatient Observation Services","Section II Part C Cost Sharing Standards",0.52346312931061
"Section III Benefit Review","Section III Improving Access to Part D Vaccines",0.516352648375757
"Section III Improving Access to Part D Vaccines","Section II Part C Cost Sharing Standards",0.510663361695463
"Section II Overview of CY 2019 Benefits and Bid Review","Section I Incomplete and Inaccurate Bid Submissions",0.501711973679461
"Section III Benefit Review","Section II Tiered Cost Sharing of Medical Benefits",0.498676618313859
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits","Section II Maximum Out of Pocket (MOOP) Limits",0.498500687674151
"Section II Part C Optional Supplemental Benefits","Section II Health Related Supplemental Benefits",0.497218365487837
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",0.49672714068489
"Section III Benefit Review","Section II Part C Cost Sharing Standards",0.496469411275884
"Section A.  MA Growth Percentage","Section B.  FFS Growth Percentage",0.482616555492202
"Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries","Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",0.481829795181151
"Section E.  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap","Section III Improving Access to Part D Vaccines",0.476642348507763
"Section II Overview of CY 2019 Benefits and Bid Review","Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",0.474529318902098
"Section II Medicare Diabetes Prevention Program (MDPP) Services Clarification","Section II Health Related Supplemental Benefits",0.471518743318039
"Section III Medication Therapy Management (MTM) Annual Cost Threshold","Section D.  Retiree Drug Subsidy Amounts",0.469632317070961
"Section F.  Dispensing Fees and Vaccine Administration Fees for Applicable Drugs in the Coverage Gap","Section E.  Estimated Total Covered Part D Spending at Out of Pocket Threshold for Applicable Beneficiaries",0.461945832469213
"Section III Part D Benefit Parameters for Non Defined Standard Plans","Section II Part C Cost Sharing Standards",0.461233676372684
