"document","topic","gamma"
"Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",1,1.16496990510747e-06
"Section III Improving Drug Utilization Review Controls in Medicare Part D",1,3.83987553119765e-06
"Section I Validation Audits",1,1.01062544543956e-05
"Section B.  Calculation of Fee for Service Cost",1,7.13682816057353e-06
"Section G.  MA Employer Group Waiver Plans",1,1.09135063800965e-05
"Section L.  Normalization Factors",1,1.47998589703103e-05
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate",1,9.75451187439342e-06
"Section IV   Medicare Medicaid Plans",1,0.728760499011726
"Section I.  ESRD Risk Adjustment Model for CY 2019",1,1.49414754090328e-05
"Section III CY 2019 Formulary Submission Window",1,1.57601314758348e-05
"Section I Incomplete and Inaccurate Bid Submissions",1,2.93396495837225e-05
"Section E.  Clinical Trials",1,2.87228598225523e-05
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated D SNPs",1,1.96396598488122e-05
"Section II Part C Cost Sharing Standards",1,1.92251363046277e-05
"Section II Total Beneficiary Cost (TBC)",1,1.71176006735825e-05
"Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment (DME) Supply Drugs",1,2.69522331212349e-05
"Section C.  Part D Risk Sharing",1,3.30676128531689e-05
"Section II Maximum Out of Pocket (MOOP) Limits",1,3.23818605885615e-05
"Section I Audit of the Sponsoring Organization s Compliance Program Effectiveness",1,4.60136581393322e-05
"Section O.  Quality Payment Program",1,3.27701945536451e-05
"Section II Health Related Supplemental Benefits",1,4.46965442912257e-05
"Section II Parts A and B Cost sharing for Individuals Enrolled in the Qualified Medicare Beneficiary (QMB) Program",1,3.9524577486678e-05
"Section II Per Member Per Month (PMPM) Actuarial Equivalent (AE) Cost Sharing Limits",1,5.02438943485941e-05
"Section III Improving Access to Part D Vaccines",1,3.39931663824659e-05
"Section D.  Medicare Part D Benefit Parameters  Annual Adjustments for Defined Standard Benefit in 2019",1,1.67503526653667e-05
