"document","topic","gamma"
"Section I Enhancements to the 2019 Star Ratings and Future Measurement Concepts",1,1.12240637174457e-06
"Section III Improving Drug Utilization Review Controls in Medicare Part D",1,3.57074910868533e-06
"Section I Validation Audits",1,9.1481917760755e-06
"Section A  MA Benchmark Quality Bonus Payments and Rebate",1,9.4308555019943e-06
"Section B  Calculation of Fee for Service Cost",1,0.197936183096929
"Section L  Normalization Factors",1,1.22124123511631e-05
"Section IV  MedicareMedicaid Plans",1,6.90214569093317e-06
"Section G  MA Employer Group Waiver Plans",1,1.0274396181923e-05
"Section E  Estimated Total Covered Part D Spending at OutofPocket Threshold for Applicable Beneficiaries",1,8.15636477129136e-06
"Section I  ESRD Risk Adjustment Model for CY 2019",1,1.46390038446661e-05
"Section III CY 2019 Formulary Submission Window",1,1.53323496013141e-05
"Section I Incomplete and Inaccurate Bid Submissions",1,2.85828596833981e-05
"Section II Total Beneficiary Cost TBC",1,1.63909734090583e-05
"Section E  Clinical Trials",1,2.47431044323727e-05
"Section H  Enhanced Medication Therapy Management MTM Model",1,1.0664142041143e-05
"Section II Improving Beneficiary Communications and Reducing Burden for Integrated DSNPs",1,1.94321484787412e-05
"Section II Part C Cost Sharing Standards",1,1.79921186533494e-05
"Section III Using the Best Available Information when making B vs D Coverage Determinations for Immunosuppressants and Inhalation Durable Medical Equipment DME Supply Drugs",1,2.69258731000332e-05
"Section II Maximum OutofPocket MOOP Limits",1,3.05442405495216e-05
"Section O  Quality Payment Program",1,3.08085038644038e-05
"Section C  Part D Risk Sharing",1,3.18178732419723e-05
"Section D  Medicare Part D Benefit Parameters Annual Adjustments for Defined Standard Benefit in 2019",1,1.55782940242246e-05
"Section I Audit of the Sponsoring Organizations Compliance Program Effectiveness",1,4.16080721782504e-05
"Section E  Reduced Coinsurance for Applicable Beneficiaries in the Coverage Gap",1,4.36481186139938e-05
"Section III Improving Access to Part D Vaccines",1,3.44886419078718e-05
"Section II Health Related Supplemental Benefits",1,4.05037728773694e-05
