"document","term","final_beta"
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","1",0.012514110547921
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","10",0.00178765069278648
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","100",0.000894268438529362
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","114",0.000894250060325474
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","1854",0.00266620492378126
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2",0.00802425952466145
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2004",0.0017870407987182
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2009",0.00178376739949962
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2012",0.00358473882927204
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2013",0.00179590173119179
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2015",0.000900325936401856
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","2020",0.00178470678544442
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","25",0.000894858578534558
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","3",0.00624774978332858
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","3.5",0.00444802531858881
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","4",0.00800213580467979
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","4182",0.000894517683314898
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","5",0.0035642891034541
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","50",0.0017839532414391
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","a2",0.00178547060101206
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","a6",0.00178370988107824
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","account",0.00179006967823863
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","act",0.0205268514918646
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","act requir",0.00446993817382393
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","ad",0.00178376326275765
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","add",0.00267942972449983
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","address",0.00178640173895865
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","advanc",0.00178670656910143
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","advanc notic",0.00179132698446359
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","agre",0.000894027467445092
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","allow",0.000893917360923185
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","amend",0.00178051453817077
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","amount",0.0196198886418624
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","announc",0.00268145609225988
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","appli",0.00537732504117109
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","applic",0.0329717467165685
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","applic percentag",0.0205907253582921
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","assign",0.00445852887880893
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","averag",0.0035855074760005
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","base",0.0107636157596537
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","basi",0.00177558763074541
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","begin",0.000897470851580974
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","benchmark",0.0151475236240482
"Section A.  MA Benchmark  Quality Bonus Payments and Rebate","beneficiari",0.000896069987016367
